User ID,Time,Category,Operation,Order ID,Transaction ID,Primary Asset,Realized Amount For Primary Asset,Realized Amount for Primary Asset in USD,Base Asset,Realized Amount For Base Asset,Realized Amount For Base Asset In USD,Quote Asset,Realized Amount for Quote Asset,Realized Amount for Quote Asset in USD,Fee Asset,Realized Amount for Fee Asset,Realized Amount for Fee Asset in USD,Payment Method,Withdraw Method,Additional Note
57173144,2025-02-17 23:22:01,Deposit,Crypto Deposit,2401162650,2401162650,XRP,39.27091700,104.39286300,"","","","","","","","","",Wallet,"",""
57173144,2025-02-19 07:33:34,Convert,Convert,1934577085435669467,3365699,"","","",XRP,15.00000000,41.11200900,USDT,36.32472618,36.32213600,USDT,1.88029602,1.88016200,Wallet,"",""
57173144,2025-02-20 07:56:40,Deposit,Crypto Deposit,2401515570,2401515570,BTC,0.00106657,104.88002800,"","","","","","","","","",Wallet,"",""
57173144,2025-02-20 09:58:19,Spot Trading,Buy,1170824164,2401531346,"","","",ETH,0.00540000,14.79808700,USDT,14.72860800,14.73349800,ETH,0.00002160,0.05919200,Wallet,"",""
57173144,2025-02-25 09:22:36,Deposit,USD Deposit,c134410165fe45b4aea49796a5bff033,2401920518,USD,200.00000000,200.00000000,"","","","","","",USD,0E-8,0E-8,ACH,"",""
57173144,2025-02-25 09:24:37,Buy,Buy,fd3354e98bd84752a1d3b9013c0bc576,2402021065,"","","",USD,100.00000000,100.00000000,BTC,0.00109421,97.09600800,USD,2.60351900,2.60351900,ACH,"",""
57173144,2025-02-25 09:25:10,Deposit,USD Deposit,0c3dcb1ed0354063975dbf2d903f0602,2401912111,USD,100.00000000,100.00000000,"","","","","","",USD,0E-8,0E-8,ACH,"",""
57173144,2025-02-25 10:27:25,Convert,Convert,1939119700545956300,3375723,"","","",USD,200.00000000,200.00000000,USDT,194.22888679,194.03236200,USDT,5.75592436,5.75010000,Wallet,"",""
57173144,2025-02-27 01:42:59,Convert,Convert,"",2402380047,"","","",ETH,0.00537840,12.39981730,BTC,0.00014841,12.57095400,BTC,0.00000743,0.62935240,Wallet,"",""
57173144,2025-02-27 06:54:01,Deposit,Crypto Deposit,2402395306,2402395306,XRP,25.85499700,56.84602600,"","","","","","","","","",Wallet,"",""
57173144,2025-02-27 06:57:48,Spot Trading,Buy,624882382,2402401656,"","","",SOL,1.00000000,137.62081000,USDT,142.15000000,142.00494400,SOL,0.00600000,0.82572500,Wallet,"",""
57173144,2025-03-01 01:01:33,Spot Trading,Buy,239072848,2402610699,"","","",BCH,0.15800000,49.17396000,USDT,49.73840000,49.71101300,BCH,0.00063200,0.19669600,Wallet,"",""
